HAR Averages table code book		
		
Variable name	Type	Description
fourierBodyAccelerationstdX	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyAccelerationstdX variable of the original HAR database.
fourierBodyAccelerationstdY	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyAccelerationstdY variable of the original HAR database.
fourierBodyAccelerationstdZ	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyAccelerationstdZ variable of the original HAR database.
fourierBodyAccelerationJerkstdX	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyAccelerationJerkstdX variable of the original HAR database.
fourierBodyAccelerationJerkstdY	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyAccelerationJerkstdY variable of the original HAR database.
fourierBodyAccelerationJerkstdZ	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyAccelerationJerkstdZ variable of the original HAR database.
fourierBodyAngularstdX	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyAngularstdX variable of the original HAR database.
fourierBodyAngularstdY	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyAngularstdY variable of the original HAR database.
fourierBodyAngularstdZ	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyAngularstdZ variable of the original HAR database.
fourierBodyAccelerationMagnitudenitudestd	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyAccelerationMagnitudenitudestd variable of the original HAR database.
fourierBodyBodyAccelerationJerkMagnitudenitudestd	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyBodyAccelerationJerkMagnitudenitudestd variable of the original HAR database.
fourierBodyBodyAngularMagnitudenitudestd	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyBodyAngularMagnitudenitudestd variable of the original HAR database.
fourierBodyBodyAngularJerkMagnitudenitudestd	Numeric	This variable is the average value, for a given subject and type of activity, of the corresponding fourierBodyBodyAngularJerkMagnitudenitudestd variable of the original HAR database.
